"No.","Time","Source","Destination","Protocol","Length","Info"
"3205","43701.579578","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"3206","43701.952426","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"3209","43721.580162","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"3210","43721.967848","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"3213","43741.580627","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"3214","43741.954279","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"3217","43761.566002","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"3218","43761.937526","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"3221","47397.324339","192.168.1.104","161.117.56.73","UDP","186","52506  >  8053 Len=144"
"3222","47397.328488","192.168.1.104","161.117.56.73","UDP","234","52506  >  8053 Len=192"
"3223","47397.706135","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"3224","47397.706139","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"3225","47401.568013","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"3226","47401.933075","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"3229","47421.568588","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"3230","47421.939655","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"3231","47441.569618","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"3232","47441.934401","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"3236","47461.571254","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"3237","47461.938982","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"3240","47481.573019","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"3241","47481.936477","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"3242","47498.179759","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"3243","47498.562029","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"3244","47498.837132","192.168.1.104","161.117.56.73","UDP","426","52506  >  8053 Len=384"
"3245","47499.228122","161.117.56.73","192.168.1.104","UDP","234","8053  >  52506 Len=192"
"3248","47501.571676","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"3249","47501.948084","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"3250","47516.912927","192.168.1.104","161.117.56.73","UDP","202","52506  >  8053 Len=160"
"3251","47517.295625","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"3252","47521.573099","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"3253","47521.939766","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"3256","47541.572945","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"3257","47541.943330","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"3260","47561.573496","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"3261","47561.940897","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"3265","47581.574327","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"3266","47581.939492","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"3267","47601.574897","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"3268","47601.954080","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"3269","47605.404605","192.168.1.104","161.117.56.73","UDP","186","52506  >  8053 Len=144"
