"No.","Time","Source","Destination","Protocol","Length","Info"
"2823","38901.929570","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2824","38921.548498","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2825","38921.929957","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2828","38941.548497","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2829","38941.931394","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2830","38961.549470","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2831","38961.930879","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2832","38973.172234","192.168.1.104","161.117.56.73","UDP","202","52506  >  8053 Len=160"
"2833","38973.562134","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"2834","38980.256995","192.168.1.104","161.117.56.73","UDP","202","52506  >  8053 Len=160"
"2835","38980.643239","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"2836","38981.550057","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2837","38981.932329","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2840","39001.550538","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2841","39001.932654","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2842","39021.550800","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2843","39021.934205","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2846","39041.551348","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2848","39041.939675","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2849","39061.552012","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"2850","39061.938107","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"2851","39081.552697","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
