"No.","Time","Source","Destination","Protocol","Length","Info"
"124084","266.818716","192.168.0.24","104.70.122.58","TLSv1","359","[TCP ACKed unseen segment] , Application Data"
"124087","267.834784","54.243.33.91","192.168.0.23","TLSv1.2","141","Encrypted Alert"
"124090","268.244169","18.136.162.179","192.168.0.16","TLSv1.2","844","[TCP ACKed unseen segment] , Application Data"
"124100","268.526064","192.168.0.23","163.152.1.1","DNS","126","Standard query 0x3867 A www.google.com"
"124101","268.526144","192.168.0.23","163.152.11.6","DNS","118","Standard query 0x2199 A www.google.com"
"124102","268.528333","163.152.11.6","192.168.0.23","DNS","382","Standard query response 0x2199 A www.google.com A 172.217.25.68 NS ns1.google.com NS ns4.google.com NS ns2.google.com NS ns3.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10 AAAA 2001:4860:4802:32::a AAAA 2001:4860:4802:34::a AAAA 2001:4860:4802:36::a AAAA 2001:4860:4802:38::a"
"124103","268.528646","163.152.1.1","192.168.0.23","DNS","382","Standard query response 0x3867 A www.google.com A 172.217.26.36 NS ns1.google.com NS ns2.google.com NS ns4.google.com NS ns3.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10 AAAA 2001:4860:4802:32::a AAAA 2001:4860:4802:34::a AAAA 2001:4860:4802:36::a AAAA 2001:4860:4802:38::a"
"124104","268.629714","192.168.0.16","18.136.162.179","TLSv1.2","498","Application Data[Packet size limited during capture]"
"124108","268.961032","18.136.162.179","192.168.0.16","TLSv1.2","502","[TCP ACKed unseen segment] , Application Data"
"124111","269.516259","192.168.0.23","172.217.31.136","TLSv1.2","1147","[TCP Previous segment not captured] , Application Data"
"124112","269.584823","172.217.31.136","192.168.0.23","TLSv1.2","531","[TCP ACKed unseen segment] , Application Data"
"124115","269.681580","192.168.0.16","163.152.1.1","DNS","162","Standard query 0xbe3d A sgpcas-out-1510998693.ap-southeast-1.elb.amazonaws.com"
"124116","269.687621","163.152.1.1","192.168.0.16","DNS","507","Standard query response 0xbe3d A sgpcas-out-1510998693.ap-southeast-1.elb.amazonaws.com A 52.74.148.253 A 18.136.36.160 NS ns-1973.awsdns-54.co.uk NS ns-785.awsdns-34.net NS ns-210.awsdns-26.com NS ns-1125.awsdns-12.org A 205.251.192.210 A 205.251.195.17 A 205.251.196.101 A 205.251.199.181 AAAA 2600:9000:5300:d200::1 AAAA 2600:9000:5303:1100::1 AAAA 2600:9000:5304:6500::1 AAAA 2600:9000:5307:b500::1"
"124125","269.698870","192.168.0.16","18.136.162.179","TLSv1.2","490","Application Data"
"124126","269.698947","192.168.0.16","18.136.162.179","TLSv1.2","262","Application Data"
"124160","269.843683","18.136.162.179","192.168.0.16","TLSv1.2","502","Application Data"
"124162","269.868010","192.168.0.16","224.0.0.251","MDNS","169","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"124163","269.868132","fe80::df:76c6:92ef:4d18","ff02::fb","MDNS","193","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"124164","269.868588","192.168.0.16","224.0.0.251","MDNS","169","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"124165","269.868665","fe80::df:76c6:92ef:4d18","ff02::fb","MDNS","193","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
"124166","269.868751","192.168.0.16","224.0.0.251","MDNS","169","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question"
