"No.","Time","Source","Destination","Protocol","Length","Info"
"2","18.658904","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"3","19.021371","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"4","24.016798","192.168.1.104","161.117.56.73","UDP","202","52506  >  8053 Len=160"
"5","24.380399","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"6","38.655783","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"7","39.020748","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"10","58.657848","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"11","59.021322","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"12","76.211689","192.168.1.104","161.117.56.73","UDP","186","52506  >  8053 Len=144"
"13","76.213715","192.168.1.104","161.117.56.73","UDP","234","52506  >  8053 Len=192"
"14","76.601745","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"15","76.608622","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"16","78.658725","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"17","79.040772","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"18","81.834882","192.168.1.104","161.117.56.73","UDP","186","52506  >  8053 Len=144"
"19","81.843018","192.168.1.104","161.117.56.73","UDP","234","52506  >  8053 Len=192"
"20","82.208961","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"21","82.209796","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"22","98.659512","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"23","99.024252","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"26","118.659564","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"27","119.023741","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"28","138.661218","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"29","139.063064","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"32","158.660955","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"33","159.026680","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"34","178.661234","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"35","179.034131","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"36","196.471809","192.168.1.104","161.117.56.73","UDP","202","52506  >  8053 Len=160"
"37","196.847540","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"38","198.661943","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"39","199.030607","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"40","201.355679","192.168.1.104","161.117.56.73","UDP","202","52506  >  8053 Len=160"
"41","201.730670","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"44","218.662019","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"45","219.031057","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"46","238.662506","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"47","239.035541","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"50","258.663304","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"51","259.032839","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"52","278.663895","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"53","279.135347","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"56","298.665261","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"57","299.033947","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
