"No.","Time","Source","Destination","Protocol","Length","Info"
"3","6.421561","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"4","6.781678","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"5","26.421662","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"8","26.801974","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"10","46.422122","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"11","46.797083","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"14","66.422114","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"15","66.796140","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"16","78.913226","192.168.1.104","161.117.56.73","UDP","202","52506  >  8053 Len=160"
"17","78.918779","192.168.1.104","161.117.56.73","UDP","378","52506  >  8053 Len=336"
"18","79.361410","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"19","79.361414","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"22","86.422271","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"23","86.801454","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"26","106.422309","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"27","106.807297","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"28","126.422488","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"29","126.805297","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"32","146.422798","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"33","146.796456","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"36","166.422877","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"37","166.802146","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"38","176.209344","192.168.1.104","161.117.56.73","UDP","186","52506  >  8053 Len=144"
"39","176.213630","192.168.1.104","161.117.56.73","UDP","234","52506  >  8053 Len=192"
"40","176.586640","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"41","176.586645","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"42","179.714532","192.168.1.104","161.117.56.73","UDP","218","52506  >  8053 Len=176"
"43","180.094664","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"44","186.422882","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"45","186.802177","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"48","206.423373","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"49","206.794767","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"50","226.423303","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"51","226.796882","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"54","246.423689","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"55","246.796816","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"56","266.424078","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"57","266.803976","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"61","286.424176","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"62","286.799104","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"63","296.014069","192.168.1.104","161.117.56.73","UDP","202","52506  >  8053 Len=160"
"64","296.393148","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"65","306.424262","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"66","306.799229","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"69","326.424581","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"70","326.803225","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"71","346.424905","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"72","346.797490","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"73","356.331936","192.168.1.104","161.117.56.73","UDP","186","52506  >  8053 Len=144"
"74","356.336683","192.168.1.104","161.117.56.73","UDP","234","52506  >  8053 Len=192"
"75","356.706438","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"76","356.707346","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"79","360.051455","192.168.1.104","161.117.56.73","UDP","202","52506  >  8053 Len=160"
"80","360.181727","192.168.1.104","161.117.56.73","UDP","186","52506  >  8053 Len=144"
"81","360.186350","192.168.1.104","161.117.56.73","UDP","234","52506  >  8053 Len=192"
"82","360.418304","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"83","360.546350","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"84","360.565346","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"85","366.425055","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"86","366.802449","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"87","386.424955","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"88","386.795560","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"92","406.425374","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"93","406.796550","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"94","426.425546","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"95","426.795720","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"98","446.425807","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"99","446.796866","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"100","466.426027","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"101","466.795743","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
"102","476.264122","192.168.1.104","161.117.56.73","UDP","202","52506  >  8053 Len=160"
"103","476.637950","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"106","480.313195","192.168.1.104","161.117.56.73","UDP","202","52506  >  8053 Len=160"
"107","480.674997","161.117.56.73","192.168.1.104","UDP","106","8053  >  52506 Len=64"
"108","486.425944","192.168.1.104","161.117.56.73","UDP","74","52506  >  8053 Len=32"
"109","486.798007","161.117.56.73","192.168.1.104","UDP","74","8053  >  52506 Len=32"
